"Regions","Area_ha","2008-12-11","three"
"Noroeste",256991,1,1
"Brasnorte",146382,1,1
"Others_Noroeste",110609,1,1
"Norte",32900,1,1
"Itauba",16800,1,1
"Others_Norte",16100,1,1
"Nordeste",454454,0.807,0.98
"Canarana",78000,0.95,1
"Querencia",160000,0.77,0.98
"Gaucha_do_Norte",47000,0.81,0.98
"Nova_Xavantina",33797,0.75,0.94
"Others_Nordeste",135657,0.78,0.98
"Medio_Norte",2255419,0.998,1
"Lucas_Do_Rio_Verde",225830,1,1
"Sorriso",575000,1,1
"Nova_Mutum",327750,0.99,1
"Ipiranga_Do_Norte",145000,1,1
"Sinop",95000,1,1
"Tapurah",133627,1,1
"Santa_Rita_do_Trivelato",140590,1,1
"Nova_Ubirata",230000,0.99,1
"Vera",100989,1,1
"Sao_Jose_do_Rio_Claro",82300,1,1
"Others_Medio_Norte",199333,1,1
"Oeste",873105,1,1
"Sapezal",331065,1,1
"Campo_Novo_Dos_Parecis",311500,1,1
"Campos_de_Julio",175000,1,1
"Others_Oeste",55540,1,1
"Centro_sul",407559,1,1
"Diamantino",284214,1,1
"Tangara_da_Serra",50848,1,1
"Santo_Antonio_do_Leveger",21300,1,1
"Chapada_dos_Guimaraes",8280,1,1
"Others_Centro_Sul",42917,1,1
"Sudeste",1266770,0.99,1
"Campo_Verde",126000,1,1
"Primavera_do_Leste",210000,1,1
"Alto_Garcas_e_Alto_Taquari",119246,0.95,1
"Jaciara/Jucimeira",29250,1,1
"Santo_Antonio_do_Leste",119000,1,1
"Others_Sudeste",663274,0.99,1
"Mato_Grosso",5547197,0.981,0.998
